key,CPU
alias,CPU
unit,(%)
begin date,2022-05-23
end date,2022-05-23
count,181

min,0.0%
max,61.85%
avg,1.63%

23:45:20.643,1.68%
23:45:21.644,4.41%
23:45:22.645,22.54%
23:45:23.646,61.85%
23:45:24.647,34.92%
23:45:25.648,4.84%
23:45:26.654,4.37%
23:45:27.655,14.06%
23:45:28.656,4.43%
23:45:29.657,12.73%
23:45:30.659,4.05%
23:45:31.684,21.62%
23:45:32.685,5.41%
23:45:33.685,4.11%
23:45:34.686,3.43%
23:45:35.699,4.13%
23:45:36.702,0.0%
23:45:37.704,8.75%
23:45:38.706,0.83%
23:45:39.708,0.0%
23:45:40.711,0.33%
23:45:41.712,0.49%
23:45:42.715,0.33%
23:45:43.716,6.17%
23:45:44.718,0.0%
23:45:45.719,0.0%
23:45:46.723,0.0%
23:45:47.724,0.16%
23:45:48.728,0.16%
23:45:49.728,0.0%
23:45:50.731,0.0%
23:45:51.756,0.48%
23:45:52.772,0.0%
23:45:53.779,0.16%
23:45:54.781,0.0%
23:45:55.803,0.0%
23:45:56.804,0.16%
23:45:57.805,0.0%
23:45:58.810,0.0%
23:45:59.816,0.0%
23:46:00.817,2.5%
23:46:01.844,0.32%
23:46:02.866,0.16%
23:46:03.867,0.5%
23:46:04.868,0.0%
23:46:05.891,0.32%
23:46:06.892,0.0%
23:46:07.893,6.55%
23:46:08.906,0.16%
23:46:09.908,0.16%
23:46:10.909,0.16%
23:46:11.911,0.16%
23:46:12.914,0.33%
23:46:13.915,0.0%
23:46:14.915,0.0%
23:46:15.916,0.16%
23:46:16.917,0.66%
23:46:17.918,0.0%
23:46:18.919,0.16%
23:46:19.948,0.0%
23:46:20.949,0.16%
23:46:21.952,0.49%
23:46:22.952,0.16%
23:46:23.953,0.0%
23:46:24.986,0.0%
23:46:26.025,0.16%
23:46:27.062,0.0%
23:46:28.063,0.0%
23:46:29.064,0.33%
23:46:30.067,0.0%
23:46:31.080,0.83%
23:46:32.082,1.99%
23:46:33.083,0.5%
23:46:34.091,0.16%
23:46:35.108,0.16%
23:46:36.142,0.0%
23:46:37.144,2.0%
23:46:38.145,2.5%
23:46:39.145,0.0%
23:46:40.147,0.16%
23:46:41.148,0.16%
23:46:42.158,0.33%
23:46:43.160,0.16%
23:46:44.161,0.0%
23:46:45.162,0.0%
23:46:46.190,0.0%
23:46:47.191,0.16%
23:46:48.191,0.0%
23:46:49.193,0.0%
23:46:50.193,0.0%
23:46:51.195,0.16%
23:46:52.197,0.49%
23:46:53.200,0.0%
23:46:54.201,0.0%
23:46:55.203,0.16%
23:46:56.204,0.0%
23:46:57.208,0.0%
23:46:58.210,0.0%
23:46:59.213,0.16%
23:47:00.215,0.16%
23:47:01.217,0.66%
23:47:02.218,0.33%
23:47:03.222,0.16%
23:47:04.223,0.16%
23:47:05.224,0.33%
23:47:06.230,0.0%
23:47:07.230,1.17%
23:47:08.232,1.83%
23:47:09.233,0.0%
23:47:10.234,0.0%
23:47:11.241,0.33%
23:47:12.245,0.33%
23:47:13.249,0.0%
23:47:14.252,0.0%
23:47:15.252,0.0%
23:47:16.253,0.0%
23:47:17.256,0.33%
23:47:18.257,0.0%
23:47:19.259,0.16%
23:47:20.260,0.0%
23:47:21.260,0.0%
23:47:22.263,0.33%
23:47:23.264,0.16%
23:47:24.267,0.16%
23:47:25.269,0.16%
23:47:26.271,0.0%
23:47:27.274,0.33%
23:47:28.275,0.0%
23:47:29.275,4.0%
23:47:30.277,0.0%
23:47:31.277,0.83%
23:47:32.279,2.33%
23:47:33.281,0.49%
23:47:34.283,0.16%
23:47:35.284,0.16%
23:47:36.288,2.31%
23:47:37.288,3.03%
23:47:38.291,0.33%
23:47:39.292,0.83%
23:47:40.295,0.0%
23:47:41.296,0.33%
23:47:42.298,0.33%
23:47:43.300,0.16%
23:47:44.303,0.16%
23:47:45.303,0.16%
23:47:46.306,0.16%
23:47:47.306,0.16%
23:47:48.308,0.0%
23:47:49.310,0.0%
23:47:50.310,0.33%
23:47:51.311,0.0%
23:47:52.312,0.5%
23:47:53.314,0.16%
23:47:54.316,0.16%
23:47:55.317,0.66%
23:47:56.319,0.16%
23:47:57.320,0.0%
23:47:58.321,0.16%
23:47:59.322,0.0%
23:48:00.327,0.16%
23:48:01.328,0.66%
23:48:02.329,0.16%
23:48:03.330,0.33%
23:48:04.334,0.16%
23:48:05.388,0.47%
23:48:06.421,0.0%
23:48:07.425,2.68%
23:48:08.426,0.0%
23:48:09.430,0.16%
23:48:10.455,0.32%
23:48:11.461,0.0%
23:48:12.469,0.33%
23:48:13.473,0.0%
23:48:14.475,0.33%
23:48:15.476,0.33%
23:48:16.477,1.67%
23:48:24.516,2.49%
23:48:25.517,1.34%
23:48:26.518,2.17%
23:48:27.520,2.68%
23:48:28.521,4.04%
